id,name,issue,source_csv,source_pdf,has_coordinates,address
CHG_GS_007,나운동 주공4차아파트,시설명 표준화: 주공4차아파트 → 나운동 주공4차아파트,True,True,True,전북특별자치도 군산시 문화로 36
CHG_GS_010,군산금강노인복지관,시설명 표준화: 금강노인복지관 → 군산금강노인복지관,True,True,True,전북특별자치도 군산시 백릉로 245
CHG_GS_012,근대역사박물관,CSV에만 존재함: 군산시 PDF 최신 목록과 교차 확인 필요,True,False,True,전북특별자치도 군산시 해망로 240
CHG_GS_013,군산수송공원,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완,True,True,True,전북특별자치도 군산시 수송동 851번지
CHG_GS_015,군산해누리노인복지관,CSV에만 존재함: 군산시 PDF 최신 목록과 교차 확인 필요,True,False,True,전북특별자치도 군산시 효자길 11
CHG_GS_019,소룡동 동아아파트 앞 공원,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완,True,True,True,전북특별자치도 군산시 소룡동 1544번지
CHG_GS_020,디오션시티 철길공원,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완,True,True,True,전북특별자치도 군산시 조촌동 3972번지
CHG_GS_021,대한노인회 군산시지회,군산시 PDF에만 존재함: CSV 좌표 없음 → 지도 마커 표시 전 지오코딩 필요,False,True,False,전북특별자치도 군산시 오룡로 27
